avgmaxtmp,avgmintmp,avgtmp,Geography,precipitation
92.81818182,41.45454545,68.18181818,"Abbeville city, Alabama",4
90.72727273,35.54545455,65.27272727,"Adamsville city, Alabama",4.427272727
88.45454545,32.54545455,61.63636364,"Addison town, Alabama",0.063636364
92.72727273,35.27272727,65.45454545,"Akron town, Alabama",3.554545455
90.45454545,38,64.63636364,"Alabaster city, Alabama",4.154545455
90,32.63636364,62.09090909,"Albertville city, Alabama",2.354545455
90.72727273,35.54545455,65.27272727,"Alexander City city, Alabama",4.427272727
92.72727273,35.27272727,65.45454545,"Aliceville city, Alabama",3.554545455
90,32.63636364,62.09090909,"Allgood town, Alabama",2.354545455
90,32.63636364,62.09090909,"Altoona town, Alabama",2.354545455
92.18181818,41.45454545,70.09090909,"Andalusia city, Alabama",3.345454545
91.09090909,33.36363636,63.45454545,"Anderson town, Alabama",3.736363636
90.45454545,33.81818182,63.90909091,"Anniston city, Alabama",3.736363636
88.45454545,32.54545455,61.63636364,"Arab city, Alabama",0.063636364
90.54545455,32.72727273,62.72727273,"Ardmore town, Alabama",3.263636364
90.72727273,35.54545455,65.27272727,"Argo town, Alabama",4.427272727
89.90909091,39.81818182,66.90909091,"Ariton town, Alabama",1.027272727
88.45454545,32.54545455,61.63636364,"Arley town, Alabama",0.063636364
92.81818182,41.45454545,68.18181818,"Ashford town, Alabama",4
90.45454545,33.81818182,63.90909091,"Ashland town, Alabama",3.736363636
90,32.63636364,62.09090909,"Ashville city, Alabama",2.354545455
90.54545455,32.72727273,62.72727273,"Athens city, Alabama",3.263636364
92.09090909,40.54545455,69,"Atmore city, Alabama",3.454545455
90,32.63636364,62.09090909,"Attalla city, Alabama",2.354545455
90.45454545,39,65.27272727,"Auburn city, Alabama",3.272727273
92.18181818,39.90909091,68.45454545,"Autaugaville town, Alabama",4.409090909
92.81818182,41.45454545,68.18181818,"Avon town, Alabama",4
92.18181818,41.45454545,70.09090909,"Babbie town, Alabama",3.345454545
88.45454545,32.54545455,61.63636364,"Baileyton town, Alabama",0.063636364
89.63636364,39.45454545,66.36363636,"Bakerhill town, Alabama",0.709090909
89.90909091,39.81818182,66.90909091,"Banks town, Alabama",1.027272727
92.09090909,40.54545455,69,"Bay Minette city, Alabama",3.454545455
91.18181818,39.90909091,68.18181818,"Bayou La Batre city, Alabama",3.909090909
91.09090909,33.36363636,63.45454545,"Bear Creek town, Alabama",3.736363636
92.90909091,36.45454545,66.45454545,"Beatrice town, Alabama",4.009090909
90.36363636,35.72727273,65.27272727,"Beaverton town, Alabama",4.072727273
90.36363636,35.72727273,65.27272727,"Belk town, Alabama",4.072727273
93,36.90909091,66.72727273,"Benton town, Alabama",3.927272727
92.72727273,35.27272727,65.45454545,"Berry town, Alabama",3.554545455
90.72727273,35.54545455,65.27272727,"Bessemer city, Alabama",4.427272727
92.18181818,39.90909091,68.45454545,"Billingsley town, Alabama",4.409090909
90.72727273,35.54545455,65.27272727,"Birmingham city, Alabama",4.427272727
91.36363636,39.63636364,67.27272727,"Black town, Alabama",4.5
88.45454545,32.54545455,61.63636364,"Blountsville town, Alabama",0.063636364
89.90909091,39.81818182,66.90909091,"Blue Springs town, Alabama",1.027272727
90,32.63636364,62.09090909,"Boaz city, Alabama",2.354545455
92.72727273,35.27272727,65.45454545,"Boligee town, Alabama",3.554545455
90.45454545,38,64.63636364,"Bon Air town, Alabama",4.154545455
92.18181818,41.45454545,70.09090909,"Brantley town, Alabama",3.345454545
90.45454545,38,64.63636364,"Brent city, Alabama",4.154545455
92.90909091,36.45454545,66.45454545,"Brewton city, Alabama",4.009090909
90.09090909,34.45454545,62.54545455,"Bridgeport city, Alabama",3.872727273
90.72727273,35.54545455,65.27272727,"Brighton city, Alabama",4.427272727
90.36363636,35.72727273,65.27272727,"Brilliant town, Alabama",4.072727273
90.72727273,35.54545455,65.27272727,"Brookside town, Alabama",4.427272727
92.72727273,35.27272727,65.45454545,"Brookwood town, Alabama",3.554545455
89.90909091,39.81818182,66.90909091,"Brundidge city, Alabama",1.027272727
94.18181818,35.36363636,65.54545455,"Butler town, Alabama",4.118181818
90.45454545,38,64.63636364,"Calera city, Alabama",4.154545455
90.81818182,39.45454545,66.54545455,"Camden city, Alabama",2.181818182
90.45454545,39,65.27272727,"Camp Hill town, Alabama",3.272727273
92.72727273,35.27272727,65.45454545,"Carbon Hill city, Alabama",3.554545455
90.72727273,35.54545455,65.27272727,"Cardiff town, Alabama",4.427272727
92.18181818,41.45454545,70.09090909,"Carolina town, Alabama",3.345454545
92.72727273,35.27272727,65.45454545,"Carrollton town, Alabama",3.554545455
92.90909091,36.45454545,66.45454545,"Castleberry town, Alabama",4.009090909
90,32.63636364,62.09090909,"Cedar Bluff town, Alabama",2.354545455
90.72727273,35.54545455,65.27272727,"Center Point city, Alabama",4.427272727
90,32.63636364,62.09090909,"Centre city, Alabama",2.354545455
90.45454545,38,64.63636364,"Centreville city, Alabama",4.154545455
91.72727273,41.18181818,68.18181818,"Chatom town, Alabama",5.254545455
90.45454545,38,64.63636364,"Chelsea city, Alabama",4.154545455
91.09090909,33.36363636,63.45454545,"Cherokee town, Alabama",3.736363636
91.72727273,41.18181818,68.18181818,"Chickasaw city, Alabama",5.254545455
90.45454545,38,64.63636364,"Childersburg city, Alabama",4.154545455
91.72727273,41.18181818,68.18181818,"Citronelle city, Alabama",5.254545455
90.45454545,38,64.63636364,"Clanton city, Alabama",4.154545455
90.72727273,35.54545455,65.27272727,"Clay city, Alabama",4.427272727
91.36363636,39.63636364,67.27272727,"Clayhatchee town, Alabama",4.5
89.63636364,39.45454545,66.36363636,"Clayton town, Alabama",0.709090909
88.45454545,32.54545455,61.63636364,"Cleveland town, Alabama",0.063636364
