,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Geography,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
0,,"Abanda CDP, Alabama",19341.0
1,28148.0,"Abbeville city, Alabama",48939.0
2,44833.0,"Adamsville city, Alabama",58449.0
3,34063.0,"Addison town, Alabama",44503.0
4,17344.0,"Akron town, Alabama",21465.0
5,73325.0,"Alabaster city, Alabama",81777.0
6,32042.0,"Albertville city, Alabama",48610.0
7,30442.0,"Alexander City city, Alabama",43654.0
8,57411.0,"Alexandria CDP, Alabama",67772.0
9,19926.0,"Aliceville city, Alabama",25488.0
10,40817.0,"Allgood town, Alabama",46445.0
11,28672.0,"Altoona town, Alabama",37837.0
12,34012.0,"Andalusia city, Alabama",51338.0
13,45500.0,"Anderson town, Alabama",54010.0
14,30539.0,"Anniston city, Alabama",48729.0
15,42199.0,"Arab city, Alabama",59462.0
16,35150.0,"Ardmore town, Alabama",43195.0
17,58103.0,"Argo town, Alabama",66565.0
18,30833.0,"Ariton town, Alabama",46236.0
19,33438.0,"Arley town, Alabama",43792.0
20,43641.0,"Ashford town, Alabama",56107.0
21,31042.0,"Ashland town, Alabama",41140.0
22,47917.0,"Ashville city, Alabama",49936.0
23,45920.0,"Athens city, Alabama",71084.0
24,25487.0,"Atmore city, Alabama",43857.0
25,38921.0,"Attalla city, Alabama",48603.0
26,38912.0,"Auburn city, Alabama",66611.0
27,29327.0,"Autaugaville town, Alabama",40943.0
28,40000.0,"Avon town, Alabama",53991.0
29,56328.0,"Axis CDP, Alabama",65145.0
30,34318.0,"Babbie town, Alabama",50834.0
31,32039.0,"Baileyton town, Alabama",46579.0
32,31719.0,"Bakerhill town, Alabama",41587.0
33,37151.0,"Ballplay CDP, Alabama",50868.0
34,27000.0,"Banks town, Alabama",33809.0
35,32341.0,"Bay Minette city, Alabama",47346.0
36,40909.0,"Bayou La Batre city, Alabama",53636.0
37,31700.0,"Bear Creek town, Alabama",39839.0
38,14063.0,"Beatrice town, Alabama",29606.0
39,37813.0,"Beaverton town, Alabama",49870.0
40,30625.0,"Belgreen CDP, Alabama",35952.0
41,31250.0,"Belk town, Alabama",42306.0
42,24122.0,"Bellamy CDP, Alabama",29460.0
43,47885.0,"Belle Fontaine CDP, Alabama",56781.0
44,,"Benton town, Alabama",79840.0
45,25357.0,"Berry town, Alabama",39524.0
46,30682.0,"Bessemer city, Alabama",42525.0
47,31750.0,"Billingsley town, Alabama",69753.0
48,32404.0,"Birmingham city, Alabama",46346.0
49,39375.0,"Black town, Alabama",56573.0
50,27386.0,"Blountsville town, Alabama",43123.0
51,95625.0,"Blue Ridge CDP, Alabama",102435.0
52,47500.0,"Blue Springs town, Alabama",57143.0
53,39328.0,"Boaz city, Alabama",55865.0
54,10326.0,"Boligee town, Alabama",17935.0
55,32813.0,"Bon Air town, Alabama",33767.0
56,18135.0,"Bon Secour CDP, Alabama",27342.0
57,9712.0,"Boykin CDP, Alabama",13161.0
58,24537.0,"Brantley town, Alabama",44353.0
59,42000.0,"Brantleyville CDP, Alabama",55417.0
60,34273.0,"Brent city, Alabama",43434.0
61,35744.0,"Brewton city, Alabama",49555.0
62,29122.0,"Bridgeport city, Alabama",36916.0
63,25205.0,"Brighton city, Alabama",30088.0
64,26316.0,"Brilliant town, Alabama",33626.0
65,,"Bristow Cove CDP, Alabama",40194.0
66,59293.0,"Brook Highland CDP, Alabama",78955.0
67,30833.0,"Brookside town, Alabama",39598.0
68,53958.0,"Brookwood town, Alabama",60880.0
69,26053.0,"Broomtown CDP, Alabama",33157.0
70,24167.0,"Brundidge city, Alabama",35561.0
71,,"Bucks CDP, Alabama",
72,30787.0,"Butler town, Alabama",41779.0
73,63396.0,"Calera city, Alabama",66161.0
74,33378.0,"Calvert CDP, Alabama",34825.0
75,34250.0,"Camden city, Alabama",47135.0
76,25785.0,"Camp Hill town, Alabama",30003.0
77,30000.0,"Carbon Hill city, Alabama",30793.0
78,,"Cardiff town, Alabama",23444.0
79,33281.0,"Carlisle-Rockledge CDP, Alabama",45354.0
80,,"Carlton CDP, Alabama",
81,52344.0,"Carolina town, Alabama",58284.0
82,25192.0,"Carrollton town, Alabama",48574.0
83,16696.0,"Castleberry town, Alabama",25878.0
84,,"Catherine CDP, Alabama",
85,38141.0,"Cedar Bluff town, Alabama",48821.0
86,39134.0,"Center Point city, Alabama",62702.0
87,31898.0,"Centre city, Alabama",45538.0
88,43438.0,"Centreville city, Alabama",63099.0
89,38889.0,"Chatom town, Alabama",57420.0
90,91199.0,"Chelsea city, Alabama",98341.0
91,29167.0,"Cherokee town, Alabama",42641.0
92,28893.0,"Chickasaw city, Alabama",38038.0
93,30391.0,"Childersburg city, Alabama",44350.0
94,61378.0,"Choccolocco CDP, Alabama",93968.0
95,69537.0,"Chunchula CDP, Alabama",68280.0
96,44026.0,"Citronelle city, Alabama",52411.0
97,40837.0,"Clanton city, Alabama",65691.0
98,69973.0,"Clay city, Alabama",80875.0
