city,stateAbbr,per_dem,per_gop
Sleepy Eye,MN,0.418503964799,0.527008478631
Cecil,GA,0.569047619048,0.344047619048
Rosholt,SD,0.0363636363636,0.952727272727
Wilkinson,IN,0.256842271792,0.701629489005
Maynard,MN,0.37733151155,0.569158908201
Hartman,AR,0.146700390894,0.799494136583
Moundridge,KS,0.168865435356,0.784520668426
Scottsbluff,NE,0.226772220223,0.716228859302
Dawson,IL,0.42220540675,0.516450369019
Dawson,IA,0.611264385885,0.348851460536
Neosho,WI,0.326217945724,0.622238310991
Locust,NC,0.237954568605,0.739805099997
Altamont,MO,0.197885605855,0.748983464353
Penney Farms,FL,0.191345503719,0.7738336714
Larrabee,IA,0.207532483085,0.772169331178
Colorado City,AZ,0.22220275243,0.736712989796
Donahue,IA,0.157036300348,0.819691695674
Antigo,WI,0.322996135936,0.63766967205
Robins,IA,0.318982530517,0.597233389372
Slaughter,LA,0.421728739295,0.554570802629
Loxley,AL,0.495489891135,0.478444790047
New Brunswick,NJ,0.351518184852,0.611945278612
Raymondville,TX,0.67217630854,0.303227075954
Ossian,IN,0.178146258503,0.762329931973
Clark's Point,AK,0.37715947248,0.528870018006
Anniston,AL,0.175115207373,0.77688172043
Loa,UT,0.221087533156,0.734549071618
Agra,OK,0.131578947368,0.80721600381
Isleton,CA,0.585567433683,0.348695045837
Sullivan,MO,0.380829770696,0.551787796347
Takoma Park,MD,0.46879025647,0.455673966507
Buffalo,MO,0.611264385885,0.348851460536
Lake Worth,FL,0.565111413726,0.411971364885
Rancho Cucamonga,CA,0.521920294998,0.42413027758
Portal,GA,0.364871019834,0.599395470167
Corwith,IA,0.256842271792,0.701629489005
Lexington,VA,0.618464052288,0.312908496732
Fordland,MO,0.187478849408,0.772927241963
Loyal,WI,0.311854148214,0.638101564807
Claremont,SD,0.418503964799,0.527008478631
Chatsworth,IL,0.334087938016,0.612537065969
Chatsworth,IA,0.108603667137,0.849083215797
Libby,MT,0.131578947368,0.80721600381
Shageluk,AK,0.37715947248,0.528870018006
Hardeeville,SC,0.193393753277,0.792300202232
Ellis Grove,IL,0.251849112426,0.701090976331
Hillsboro,IA,0.341212701319,0.632860293812
Abbeville,AL,0.341212701319,0.632860293812
Hillsboro,IL,0.46879025647,0.455673966507
Mallard,IA,0.298459563543,0.658750534874
Strafford,MO,0.307587077765,0.625381458487
Cramerton,NC,0.326566320938,0.647894004554
Crowder,OK,0.214724637681,0.738550724638
Van Horn,TX,0.595800524934,0.367454068241
Hollister,OK,0.242793791574,0.718403547672
Stark,KS,0.238010079662,0.705576329052
Davisboro,GA,0.273509430003,0.678448705506
Forkland,AL,0.307587077765,0.625381458487
Capon Bridge,WV,0.184176697441,0.776674068014
Barker,NY,0.382418604651,0.572360465116
Milo,IA,0.290315327975,0.661120791411
Madison,KS,0.371783216783,0.590244755245
Bon Air,AL,0.364501174062,0.620025287495
Gardendale,AL,0.393968425876,0.547506977132
McDonough,GA,0.341212701319,0.632860293812
Sanford,FL,0.25734561753,0.698705179283
Tallulah,LA,0.317565618691,0.637150274012
Wagram,NC,0.529651458925,0.452011933348
Hagerman,ID,0.17915623194,0.721055673281
Orange,OH,0.447843695853,0.51185781255
Cumming,IA,0.290315327975,0.661120791411
Marshall,TX,0.275405482991,0.670554040477
Monrovia,IN,0.205370006549,0.748919449902
Geneva,AL,0.13054292821,0.854876061412
Keokuk,IA,0.260395224372,0.696788801976
Aurora,NC,0.406444963584,0.549484677752
Wayne,WV,0.221087533156,0.734549071618
Bennett,CO,0.373998219056,0.591965964183
Shamrock,OK,0.202667963593,0.748245674981
Waukon,IA,0.352347520842,0.595582857979
Spearville,KS,0.27367003367,0.672592592593
Nerstrand,MN,0.448117453518,0.478908650712
Garrett Park,MD,0.46879025647,0.455673966507
Teague,TX,0.192034700315,0.787986330179
Angelica,NY,0.261410788382,0.684471977091
Blue Rapids,KS,0.221203087977,0.731101429336
Buckman,MN,0.207425573172,0.737139272271
Claire City,SD,0.0363636363636,0.952727272727
Dyersville,IA,0.464424822073,0.476864408508
Albert,KS,0.134018880647,0.835805799056
Tilton,IL,0.187898467509,0.784342454362
Lake Wilson,MN,0.196561085973,0.755294117647
Hope,KS,0.369106500692,0.560547717842
Bruceton Mills,WV,0.19522638966,0.753389897708
Greenville,OH,0.1758,0.78792
Burkburnett,TX,0.230844301427,0.728219871812
Wallingford,IA,0.371364653244,0.565462874188
Tehuacana,TX,0.228556485356,0.751438284519
Bellbrook,OH,0.307587077765,0.625381458487
McBride,MI,0.296505497816,0.636654616659
Garner,AR,0.188420621931,0.783244680851
Schuyler,NE,0.401821286283,0.487383798141
Hart,TX,0.0884318766067,0.887917737789
Billings,MO,0.205464560081,0.747475479538
Nunez,GA,0.310410819087,0.680020413371
Victoria,MN,0.390330659504,0.527331131356
Enterprise,OR,0.262628680871,0.676322719655
Lena,WI,0.295422605902,0.665278056615
Olsburg,KS,0.236259196601,0.701341621749
Rebecca,GA,0.23156626506,0.707710843373
Mountain View,WY,0.149261144915,0.764187259406
Wayland,IA,0.341212701319,0.632860293812
London,KY,0.138648180243,0.829954455685
Chase,KS,0.0923824959481,0.875742841707
Hartford,IL,0.317565618691,0.637150274012
Howe,OK,0.188673760102,0.775975347404
Shelbyville,IN,0.193672839506,0.790454144621
Conetoe,NC,0.655173812518,0.333387417353
Havana,AR,0.230395993113,0.719987478479
Estacada,OR,0.495162955154,0.434082224272
Kuna,ID,0.386917330906,0.479316109966
Littleton,IL,0.327792947881,0.614864062686
Cactus,TX,0.208285822881,0.755226149753
Spring Valley,MN,0.211879124696,0.729419937478
Everly,IA,0.191345503719,0.7738336714
Bondurant,IA,0.33352430479,0.610991141862
Vaughn,NM,0.319958056624,0.637801468018
Clutier,IA,0.369847151459,0.575266327003
West Salem,IL,0.283568075117,0.695774647887
Horatio,AR,0.0810062590274,0.776961964372
Chouteau,OK,0.217858961303,0.735106924644
Colp,IL,0.420159182941,0.518785781253
Hunter,ND,0.193865242116,0.791142512494
Hartwell,GA,0.238259192949,0.732681448836
Ocilla,GA,0.243235856791,0.74091281771
Beaver,AR,0.188194597777,0.784058291013
Centreville,AL,0.589486858573,0.387282047765
Hartford,IA,0.290315327975,0.661120791411
Hunter,NY,0.46879025647,0.455673966507
Brushton,NY,0.380829770696,0.551787796347
La Porte City,IA,0.506255832714,0.433115578684
Okay,OK,0.214779491775,0.735038084875
Hermitage,PA,0.204590078101,0.757537414372
Heidelberg,MS,0.193393753277,0.792300202232
Ventura,IA,0.434763398577,0.511774842045
Arlington,GA,0.175115207373,0.77688172043
North Salem,IN,0.300233862181,0.642137712934
Dahlonega,GA,0.179811749432,0.780022719896
Princess Anne,MD,0.206185278477,0.765379233137
Inman,SC,0.330217810635,0.630011672862
Seneca,MO,0.243890274314,0.738403990025
Grover,CO,0.342843261828,0.567172434412
Superior,MT,0.176950043821,0.785013146363
Ridge Farm,IL,0.187898467509,0.784342454362
Shaniko,OR,0.411874500044,0.508488134388
Branchville,SC,0.676334226252,0.306743251597
Windsor,VA,0.374639910161,0.58449294468
Hartford,CT,0.585615915074,0.370503407904
Almena,KS,0.126484018265,0.825570776256
Ralston,OK,0.211314213678,0.743145288371
Sunburst,MT,0.197720515362,0.740832507433
Cusick,WA,0.284619917501,0.642899233942
Washington,KS,0.273509430003,0.678448705506
Bayard,NE,0.130193905817,0.825484764543
Hay Springs,NE,0.206245154014,0.72362021569
Nicholls,GA,0.238301080674,0.724252324705
Columbus,WI,0.461808993751,0.483490968689
Ossian,IA,0.466969778016,0.475349915307
De Witt,MO,0.188194597777,0.784058291013
Cottleville,MO,0.341957666919,0.605970538261
Bayard,NM,0.103134479272,0.877249747219
Eddyville,KY,0.258648261931,0.673554414612
Cochran,GA,0.221726793677,0.753344142683
Kennewick,WA,0.327317409339,0.592845904794
Clarkedale,AR,0.152874132805,0.815163528246
Swepsonville,NC,0.422557172557,0.552018364518
Wellington,UT,0.206290322581,0.711129032258
Athens,TN,0.187600299561,0.784904247352
Jewett,OH,0.275405482991,0.670554040477
Athens,TX,0.189214536928,0.789616479652
Kit Carson,CO,0.145585386106,0.800996401882
White,SD,0.384779179811,0.532176656151
Wimbledon,ND,0.304016752332,0.600799543118
North Newton,KS,0.344291609354,0.584800550206
Laconia,IN,0.275405482991,0.670554040477
Turin,GA,0.270276441328,0.693353991682
Salt Lick,KY,0.268836379848,0.690147124387
Moody,TX,0.345613698805,0.616510127148
Burlingame,CA,0.763759178293,0.186891084839
Lincoln,IL,0.292893401015,0.68883248731
Rockville,IN,0.219130170316,0.73950729927
Lockhart,TX,0.39824066957,0.556495003843
Freeport,KS,0.0882154882155,0.880134680135
Reeves,LA,0.287100098575,0.668921946411
Elyria,NE,0.155156537753,0.814917127072
Stanley,NC,0.326566320938,0.647894004554
Warsaw,OH,0.261212485796,0.693870730566
Battle Creek,MI,0.175115207373,0.77688172043
Mountain Iron,MN,0.557834964935,0.395399737434
Westcliffe,CO,0.237489397795,0.697625106022
Monterey,CA,0.714071865319,0.233886938213
Cabery,IL,0.27367003367,0.672592592593
Pilot Station,AK,0.37715947248,0.528870018006
Pevely,MO,0.393968425876,0.547506977132
Valley Falls,NY,0.45519843615,0.483899319604
Le Sueur,MN,0.310957153427,0.61760947064
Marietta,TX,0.193865242116,0.791142512494
Red Bay,AL,0.380829770696,0.551787796347
Jacksonville,OR,0.218698381236,0.739924017179
Milner,GA,0.193073312834,0.784700868533
Star,NC,0.46879025647,0.455673966507
Sandy,UT,0.428482871035,0.326281939521
Jacksonville,OH,0.556601410114,0.387101392219
Ramona,SD,0.292893401015,0.68883248731
Twin Falls,ID,0.214592543818,0.660427052958
Wilmer,TX,0.611264385885,0.348851460536
Nettleton,MS,0.114178949554,0.870354992734
Meadow,TX,0.240499149178,0.734543391946
Sumter,SC,0.545405012713,0.42528605158
Gower,MO,0.305478805849,0.653750252712
Pulaski,VA,0.275939650609,0.682503970355
Pomeroy,IA,0.175115207373,0.77688172043
Britton,SD,0.221203087977,0.731101429336
Clinton,NJ,0.407993539429,0.546385764076
South Rockwood,MI,0.192063492063,0.764902998236
Plymouth,NC,0.273509430003,0.678448705506
Bowler,WI,0.307457988526,0.64690054323
Lincoln,IA,0.369847151459,0.575266327003
Richfield Springs,NY,0.403274843641,0.533530229326
Sauk Rapids,MN,0.327317409339,0.592845904794
Castalia,OH,0.467587853975,0.487615148414
Wilson,LA,0.421728739295,0.554570802629
Goshen,IN,0.317041741452,0.641385552334
Upton,WY,0.0881823635273,0.869226154769
Coosada,AL,0.212935790586,0.682709238173
Lincoln,AR,0.131578947368,0.80721600381
Cheraw,SC,0.462056729497,0.484562548492
Langston,AL,0.218698381236,0.739924017179
Chadwick,IL,0.188194597777,0.784058291013
Childress,TX,0.121401151631,0.864683301344
Slayton,MN,0.196561085973,0.755294117647
Burke,SD,0.186991869919,0.765184122429
Olean,MO,0.153320483617,0.813474680217
Okeene,OK,0.187450566834,0.760348009491
Trion,GA,0.195488721805,0.783046325491
Cameron,MO,0.305478805849,0.653750252712
Hondo,TX,0.646148315978,0.32059605246
Loves Park,IL,0.431402226051,0.505832906441
East Dubuque,IL,0.398317974412,0.546926724524
Prestonsburg,KY,0.288509784245,0.663447064727
Cassville,MO,0.185565598466,0.782456861134
Westport,SD,0.418503964799,0.527008478631
River Grove,IL,0.176404912542,0.740975065128
Huachuca City,AZ,0.35439312119,0.580248916495
Staunton,VA,0.478194544149,0.460247666906
Colby,KS,0.077519379845,0.888888888889
Cleghorn,IA,0.207532483085,0.772169331178
Irving,TX,0.611264385885,0.348851460536
Garvin,MN,0.258648261931,0.673554414612
Sodus Point,NY,0.221087533156,0.734549071618
Easton,MN,0.29272603671,0.633446634942
Young Harris,GA,0.179304192685,0.799435028249
Roseville,CA,0.411666622379,0.524652565567
Rush Center,KS,0.154002713704,0.798507462687
Medina,WA,0.721489246539,0.217145372921
Pelion,SC,0.288461696312,0.655558200428
Douglas,MI,0.325131905789,0.613058219861
Ravenden,AR,0.180163494699,0.793140886448
Malad City,ID,0.388875557902,0.560397370063
Idaho Springs,CO,0.467281272596,0.438539407086
Zwingle,IA,0.464424822073,0.476864408508
Southgate,MI,0.221087533156,0.734549071618
Seville,OH,0.269040553907,0.701344039099
