id,Geography,stateAbbr,stateFullName,lat,lng
1,"Abbeville, Alabama",AL, Alabama,31.571835200000002,-85.2504893
2,"Adamsville, Alabama",AL, Alabama,33.600938899999996,-86.9561059
3,"Addison, Alabama",AL, Alabama,34.202324299999994,-87.1814012
4,"Akron, Alabama",AL, Alabama,32.8765165,-87.7425105
5,"Alabaster, Alabama",AL, Alabama,33.244281300000004,-86.8163773
6,"Albertville, Alabama",AL, Alabama,34.267593700000006,-86.20886690000002
7,"Alexander City, Alabama",AL, Alabama,32.944012,-85.9538532
8,"Aliceville, Alabama",AL, Alabama,33.12956810000001,-88.15141659999999
9,"Allgood, Alabama",AL, Alabama,33.9120429,-86.50943149999999
10,"Altoona, Alabama",AL, Alabama,34.026208200000006,-86.3260923
11,"Andalusia, Alabama",AL, Alabama,31.308503899999998,-86.48329129999999
12,"Anderson, Alabama",AL, Alabama,34.9284179,-87.266407
13,"Anniston, Alabama",AL, Alabama,33.659825700000006,-85.8316318
14,"Arab, Alabama",AL, Alabama,34.318149700000006,-86.49582190000001
15,"Ardmore, Alabama",AL, Alabama,34.9886941475,-86.841826721
16,"Argo, Alabama",AL, Alabama,33.681768100000006,-86.5305409
17,"Ariton, Alabama",AL, Alabama,31.600165500000003,-85.7188298
18,"Arley, Alabama",AL, Alabama,34.078993,-87.2122325
19,"Ashford, Alabama",AL, Alabama,31.182956199999996,-85.23632099999999
20,"Ashland, Alabama",AL, Alabama,33.2737256,-85.83607409999999
21,"Ashville, Alabama",AL, Alabama,33.8370433,-86.2544223
22,"Athens, Alabama",AL, Alabama,34.8028661,-86.97167409999999
23,"Atmore, Alabama",AL, Alabama,31.0237921,-87.4938708
24,"Attalla, Alabama",AL, Alabama,34.021763899999996,-86.08858520000001
25,"Auburn, Alabama",AL, Alabama,32.6098566,-85.48078249999999
26,"Autaugaville, Alabama",AL, Alabama,32.434024900000004,-86.6547019
27,"Avon, Alabama",AL, Alabama,31.189344399999996,-85.28604370000001
28,"Babbie, Alabama",AL, Alabama,31.279613899999998,-86.3255085
29,"Baileyton, Alabama",AL, Alabama,34.2623179,-86.61277120000001
30,"Bakerhill, Alabama",AL, Alabama,31.781274800000002,-85.3021583
31,"Banks, Alabama",AL, Alabama,31.815158500000003,-85.84300340000001
32,"Bay Minette, Alabama",AL, Alabama,30.8829628,-87.77304740000001
33,"Bayou La Batre, Alabama",AL, Alabama,30.403515999999996,-88.248522
34,"Bear Creek, Alabama",AL, Alabama,34.2748197,-87.7005833
