id,Geography,stateAbbr,stateFullName
1,"Abbeville, Alabama",AL, Alabama
2,"Adamsville, Alabama",AL, Alabama
3,"Addison, Alabama",AL, Alabama
4,"Akron, Alabama",AL, Alabama
5,"Alabaster, Alabama",AL, Alabama
6,"Albertville, Alabama",AL, Alabama
7,"Alexander, Alabama",AL, Alabama
9,"Aliceville, Alabama",AL, Alabama
10,"Allgood, Alabama",AL, Alabama
11,"Altoona, Alabama",AL, Alabama
12,"Andalusia, Alabama",AL, Alabama
13,"Anderson, Alabama",AL, Alabama
14,"Anniston, Alabama",AL, Alabama
15,"Arab, Alabama",AL, Alabama
16,"Ardmore, Alabama",AL, Alabama
18,"Ariton, Alabama",AL, Alabama
19,"Arley, Alabama",AL, Alabama
20,"Ashford, Alabama",AL, Alabama
21,"Ashland, Alabama",AL, Alabama
22,"Ashville, Alabama",AL, Alabama
23,"Athens, Alabama",AL, Alabama
24,"Atmore, Alabama",AL, Alabama
25,"Attalla, Alabama",AL, Alabama
26,"Auburn, Alabama",AL, Alabama
27,"Autaugaville, Alabama",AL, Alabama
31,"Baileyton, Alabama",AL, Alabama
34,"Banks, Alabama",AL, Alabama
35,"Bay Minette, Alabama",AL, Alabama
36,"Bayou La Batre, Alabama",AL, Alabama
37,"Bear Creek, Alabama",AL, Alabama
38,"Beatrice, Alabama",AL, Alabama
39,"Beaverton, Alabama",AL, Alabama
41,"Belk, Alabama",AL, Alabama
44,"Berry, Alabama",AL, Alabama
45,"Bessemer, Alabama",AL, Alabama
46,"Billingsley, Alabama",AL, Alabama
47,"Birmingham, Alabama",AL, Alabama
48,"Black, Alabama",AL, Alabama
49,"Blountsville, Alabama",AL, Alabama
52,"Boaz, Alabama",AL, Alabama
53,"Boligee, Alabama",AL, Alabama
54,"Bon Air, Alabama",AL, Alabama
57,"Brantley, Alabama",AL, Alabama
59,"Brent, Alabama",AL, Alabama
60,"Brewton, Alabama",AL, Alabama
61,"Bridgeport, Alabama",AL, Alabama
63,"Brilliant, Alabama",AL, Alabama
65,"Brookside, Alabama",AL, Alabama
66,"Brookwood, Alabama",AL, Alabama
67,"Brundidge, Alabama",AL, Alabama
69,"Butler, Alabama",AL, Alabama
70,"Calera, Alabama",AL, Alabama
72,"Camden, Alabama",AL, Alabama
73,"Camp Hill, Alabama",AL, Alabama
74,"Carbon Hill, Alabama",AL, Alabama
75,"Cardiff, Alabama",AL, Alabama
78,"Carrollton, Alabama",AL, Alabama
79,"Castleberry, Alabama",AL, Alabama
81,"Cedar Bluff, Alabama",AL, Alabama
83,"Centre, Alabama",AL, Alabama
84,"Centreville, Alabama",AL, Alabama
85,"Chatom, Alabama",AL, Alabama
86,"Chelsea, Alabama",AL, Alabama
87,"Cherokee, Alabama",AL, Alabama
89,"Childersburg, Alabama",AL, Alabama
92,"Citronelle, Alabama",AL, Alabama
93,"Clanton, Alabama",AL, Alabama
94,"Clay, Alabama",AL, Alabama
96,"Clayton, Alabama",AL, Alabama
97,"Cleveland, Alabama",AL, Alabama
98,"Clio, Alabama",AL, Alabama
99,"Coaling, Alabama",AL, Alabama
100,"Coffee Springs, Alabama",AL, Alabama
101,"Coffeeville, Alabama",AL, Alabama
102,"Coker, Alabama",AL, Alabama
103,"Collinsville, Alabama",AL, Alabama
105,"Columbia, Alabama",AL, Alabama
106,"Columbiana, Alabama",AL, Alabama
108,"Coosada, Alabama",AL, Alabama
109,"Cordova, Alabama",AL, Alabama
111,"Cottonwood, Alabama",AL, Alabama
113,"Courtland, Alabama",AL, Alabama
114,"Cowarts, Alabama",AL, Alabama
115,"Creola, Alabama",AL, Alabama
116,"Crossville, Alabama",AL, Alabama
117,"Cuba, Alabama",AL, Alabama
118,"Cullman, Alabama",AL, Alabama
120,"Cusseta, Alabama",AL, Alabama
121,"Dadeville, Alabama",AL, Alabama
122,"Daleville, Alabama",AL, Alabama
123,"Daphne, Alabama",AL, Alabama
124,"Dauphin Island, Alabama",AL, Alabama
125,"Daviston, Alabama",AL, Alabama
127,"Deatsville, Alabama",AL, Alabama
128,"Decatur, Alabama",AL, Alabama
131,"Demopolis, Alabama",AL, Alabama
132,"Detroit, Alabama",AL, Alabama
134,"Dora, Alabama",AL, Alabama
135,"Dothan, Alabama",AL, Alabama
136,"Double Springs, Alabama",AL, Alabama
137,"Douglas, Alabama",AL, Alabama
138,"Dozier, Alabama",AL, Alabama
140,"Dutton, Alabama",AL, Alabama
143,"Eclectic, Alabama",AL, Alabama
145,"Edwardsville, Alabama",AL, Alabama
147,"Elba, Alabama",AL, Alabama
148,"Elberta, Alabama",AL, Alabama
149,"Eldridge, Alabama",AL, Alabama
150,"Elkmont, Alabama",AL, Alabama
151,"Elmore, Alabama",AL, Alabama
152,"Emelle, Alabama",AL, Alabama
154,"Enterprise, Alabama",AL, Alabama
155,"Epes, Alabama",AL, Alabama
156,"Ethelsville, Alabama",AL, Alabama
157,"Eufaula, Alabama",AL, Alabama
159,"Eutaw, Alabama",AL, Alabama
160,"Eva, Alabama",AL, Alabama
161,"Evergreen, Alabama",AL, Alabama
162,"Excel, Alabama",AL, Alabama
