,id,Geography,stateAbbr,stateFullName,lat,lng
0,1,"Abbeville, Alabama",AL, Alabama,31.5718352,-85.2504893
1,2,"Adamsville, Alabama",AL, Alabama,33.6009389,-86.9561059
2,3,"Addison, Alabama",AL, Alabama,34.202324299999994,-87.1814012
3,4,"Akron, Alabama",AL, Alabama,32.8765165,-87.7425105
4,5,"Alabaster, Alabama",AL, Alabama,33.244281300000004,-86.8163773
5,6,"Albertville, Alabama",AL, Alabama,34.267593700000006,-86.20886690000002
6,7,"Alexander, Alabama",AL, Alabama,32.944012,-85.9538532
7,9,"Aliceville, Alabama",AL, Alabama,33.12956810000001,-88.15141659999998
8,10,"Allgood, Alabama",AL, Alabama,33.9120429,-86.50943149999998
9,11,"Altoona, Alabama",AL, Alabama,34.026208200000006,-86.3260923
10,12,"Andalusia, Alabama",AL, Alabama,31.3085039,-86.48329129999998
11,13,"Anderson, Alabama",AL, Alabama,34.9284179,-87.266407
12,14,"Anniston, Alabama",AL, Alabama,33.659825700000006,-85.8316318
13,15,"Arab, Alabama",AL, Alabama,34.318149700000006,-86.49582190000002
14,16,"Ardmore, Alabama",AL, Alabama,34.9886941475,-86.841826721
15,18,"Ariton, Alabama",AL, Alabama,31.600165500000006,-85.7188298
16,19,"Arley, Alabama",AL, Alabama,34.078993,-87.2122325
17,20,"Ashford, Alabama",AL, Alabama,31.1829562,-85.23632099999998
18,21,"Ashland, Alabama",AL, Alabama,33.2737256,-85.83607409999998
19,22,"Ashville, Alabama",AL, Alabama,33.8370433,-86.2544223
20,23,"Athens, Alabama",AL, Alabama,34.8028661,-86.97167409999999
21,24,"Atmore, Alabama",AL, Alabama,31.0237921,-87.4938708
22,25,"Attalla, Alabama",AL, Alabama,34.0217639,-86.08858520000003
23,26,"Auburn, Alabama",AL, Alabama,32.6098566,-85.48078249999998
24,27,"Autaugaville, Alabama",AL, Alabama,32.434024900000004,-86.6547019
25,31,"Baileyton, Alabama",AL, Alabama,34.2623179,-86.61277120000003
26,34,"Banks, Alabama",AL, Alabama,31.815158500000006,-85.84300340000001
27,35,"Bay Minette, Alabama",AL, Alabama,30.8829628,-87.77304740000002
28,36,"Bayou La Batre, Alabama",AL, Alabama,30.403516,-88.248522
29,37,"Bear Creek, Alabama",AL, Alabama,34.2748197,-87.7005833
30,38,"Beatrice, Alabama",AL, Alabama,31.733488800000003,-87.2047083
31,39,"Beaverton, Alabama",AL, Alabama,33.9312162,-88.0203075
32,41,"Belk, Alabama",AL, Alabama,33.647611,-87.9314109
33,44,"Berry, Alabama",AL, Alabama,33.65983320000001,-87.6000098
34,45,"Bessemer, Alabama",AL, Alabama,33.4017766,-86.954437
35,46,"Billingsley, Alabama",AL, Alabama,32.659575,-86.717761
36,47,"Birmingham, Alabama",AL, Alabama,33.5206608,-86.80249
37,48,"Black, Alabama",AL, Alabama,31.0093468,-85.7443772
38,49,"Blountsville, Alabama",AL, Alabama,34.081486299999995,-86.5911027
39,52,"Boaz, Alabama",AL, Alabama,34.2006503,-86.1663655
40,53,"Boligee, Alabama",AL, Alabama,32.7559654,-88.0289072
41,54,"Bon Air, Alabama",AL, Alabama,33.2637246,-86.3355323
42,57,"Brantley, Alabama",AL, Alabama,31.5823832,-86.2571786
43,59,"Brent, Alabama",AL, Alabama,32.9373463,-87.1647184
44,60,"Brewton, Alabama",AL, Alabama,31.1051779,-87.0721918
45,61,"Bridgeport, Alabama",AL, Alabama,34.9475807,-85.7144155
46,63,"Brilliant, Alabama",AL, Alabama,34.0253797,-87.75835740000002
47,65,"Brookside, Alabama",AL, Alabama,33.6378825,-86.91666120000002
48,66,"Brookwood, Alabama",AL, Alabama,33.2556719,-87.32083359999999
49,67,"Brundidge, Alabama",AL, Alabama,31.7201615,-85.8160567
50,69,"Butler, Alabama",AL, Alabama,32.0895908,-88.2219652
51,70,"Calera, Alabama",AL, Alabama,33.1028965,-86.7535975
52,72,"Camden, Alabama",AL, Alabama,31.9909813,-87.29054559999999
53,73,"Camp Hill, Alabama",AL, Alabama,32.8004059,-85.6535659
54,74,"Carbon Hill, Alabama",AL, Alabama,33.8917742,-87.52612359999998
55,75,"Cardiff, Alabama",AL, Alabama,33.6456604,-86.9336061
56,78,"Carrollton, Alabama",AL, Alabama,33.26178710000001,-88.09502629999999
57,79,"Castleberry, Alabama",AL, Alabama,31.2990599,-87.02247209999999
58,81,"Cedar Bluff, Alabama",AL, Alabama,34.220094200000005,-85.6077402
59,83,"Centre, Alabama",AL, Alabama,34.1520406,-85.6788531
60,84,"Centreville, Alabama",AL, Alabama,32.9445682,-87.1386067
