,id,Geography,stateAbbr,stateFullName,lat,lng,avgmaxtmp,avgmintmp,avgtmp,precipitation
0,1,"Abbeville city, Alabama",AL, Alabama,31.571835200000002,-85.2504893,92.81818182,41.45454545,68.18181818,4.0
1,2,"Adamsville city, Alabama",AL, Alabama,33.600938899999996,-86.9561059,90.72727273,35.54545455,65.27272727,4.427272727
2,3,"Addison town, Alabama",AL, Alabama,34.202324299999994,-87.1814012,88.45454545,32.54545455,61.63636364,0.063636364
3,4,"Akron town, Alabama",AL, Alabama,32.8765165,-87.7425105,92.72727273,35.27272727,65.45454545,3.554545455
4,5,"Alabaster city, Alabama",AL, Alabama,33.244281300000004,-86.8163773,90.45454545,38.0,64.63636364,4.154545455
5,6,"Albertville city, Alabama",AL, Alabama,34.267593700000006,-86.20886690000002,90.0,32.63636364,62.09090909,2.354545455
6,7,"Alexander City city, Alabama",AL, Alabama,32.944012,-85.9538532,90.72727273,35.54545455,65.27272727,4.427272727
7,9,"Aliceville city, Alabama",AL, Alabama,33.12956810000001,-88.15141659999998,92.72727273,35.27272727,65.45454545,3.554545455
8,10,"Allgood town, Alabama",AL, Alabama,33.9120429,-86.50943149999998,90.0,32.63636364,62.09090909,2.354545455
9,11,"Altoona town, Alabama",AL, Alabama,34.026208200000006,-86.3260923,90.0,32.63636364,62.09090909,2.354545455
10,12,"Andalusia city, Alabama",AL, Alabama,31.308503899999998,-86.48329129999998,92.18181818,41.45454545,70.09090909,3.345454545
11,13,"Anderson town, Alabama",AL, Alabama,34.9284179,-87.266407,91.09090909,33.36363636,63.45454545,3.736363636
12,14,"Anniston city, Alabama",AL, Alabama,33.659825700000006,-85.8316318,90.45454545,33.81818182,63.90909091,3.736363636
13,15,"Arab city, Alabama",AL, Alabama,34.318149700000006,-86.49582190000002,88.45454545,32.54545455,61.63636364,0.063636364
14,16,"Ardmore town, Alabama",AL, Alabama,34.9886941475,-86.841826721,90.54545455,32.72727273,62.72727273,3.263636364
15,18,"Ariton town, Alabama",AL, Alabama,31.60016550000001,-85.7188298,89.90909091,39.81818182,66.90909091,1.027272727
16,19,"Arley town, Alabama",AL, Alabama,34.078993,-87.2122325,88.45454545,32.54545455,61.63636364,0.063636364
17,20,"Ashford town, Alabama",AL, Alabama,31.182956199999996,-85.23632099999998,92.81818182,41.45454545,68.18181818,4.0
18,21,"Ashland town, Alabama",AL, Alabama,33.2737256,-85.83607409999998,90.45454545,33.81818182,63.90909091,3.736363636
