,Geography,stateAbbr,stateFullName
1,"Abbeville city, Alabama",AL, Alabama
2,"Adamsville city, Alabama",AL, Alabama
3,"Addison town, Alabama",AL, Alabama
4,"Akron town, Alabama",AL, Alabama
5,"Alabaster city, Alabama",AL, Alabama
6,"Albertville city, Alabama",AL, Alabama
7,"Alexander City city, Alabama",AL, Alabama
9,"Aliceville city, Alabama",AL, Alabama
10,"Allgood town, Alabama",AL, Alabama
11,"Altoona town, Alabama",AL, Alabama
12,"Andalusia city, Alabama",AL, Alabama
13,"Anderson town, Alabama",AL, Alabama
14,"Anniston city, Alabama",AL, Alabama
15,"Arab city, Alabama",AL, Alabama
16,"Ardmore town, Alabama",AL, Alabama
17,"Argo town, Alabama",AL, Alabama
18,"Ariton town, Alabama",AL, Alabama
19,"Arley town, Alabama",AL, Alabama
20,"Ashford town, Alabama",AL, Alabama
21,"Ashland town, Alabama",AL, Alabama
22,"Ashville city, Alabama",AL, Alabama
23,"Athens city, Alabama",AL, Alabama
24,"Atmore city, Alabama",AL, Alabama
25,"Attalla city, Alabama",AL, Alabama
26,"Auburn city, Alabama",AL, Alabama
27,"Autaugaville town, Alabama",AL, Alabama
28,"Avon town, Alabama",AL, Alabama
30,"Babbie town, Alabama",AL, Alabama
31,"Baileyton town, Alabama",AL, Alabama
32,"Bakerhill town, Alabama",AL, Alabama
34,"Banks town, Alabama",AL, Alabama
35,"Bay Minette city, Alabama",AL, Alabama
36,"Bayou La Batre city, Alabama",AL, Alabama
37,"Bear Creek town, Alabama",AL, Alabama
38,"Beatrice town, Alabama",AL, Alabama
39,"Beaverton town, Alabama",AL, Alabama
41,"Belk town, Alabama",AL, Alabama
43,"Benton town, Alabama",AL, Alabama
44,"Berry town, Alabama",AL, Alabama
45,"Bessemer city, Alabama",AL, Alabama
46,"Billingsley town, Alabama",AL, Alabama
47,"Birmingham city, Alabama",AL, Alabama
48,"Black town, Alabama",AL, Alabama
49,"Blountsville town, Alabama",AL, Alabama
51,"Blue Springs town, Alabama",AL, Alabama
52,"Boaz city, Alabama",AL, Alabama
53,"Boligee town, Alabama",AL, Alabama
54,"Bon Air town, Alabama",AL, Alabama
57,"Brantley town, Alabama",AL, Alabama
59,"Brent city, Alabama",AL, Alabama
60,"Brewton city, Alabama",AL, Alabama
61,"Bridgeport city, Alabama",AL, Alabama
62,"Brighton city, Alabama",AL, Alabama
63,"Brilliant town, Alabama",AL, Alabama
65,"Brookside town, Alabama",AL, Alabama
66,"Brookwood town, Alabama",AL, Alabama
67,"Brundidge city, Alabama",AL, Alabama
69,"Butler town, Alabama",AL, Alabama
70,"Calera city, Alabama",AL, Alabama
72,"Camden city, Alabama",AL, Alabama
73,"Camp Hill town, Alabama",AL, Alabama
74,"Carbon Hill city, Alabama",AL, Alabama
75,"Cardiff town, Alabama",AL, Alabama
77,"Carolina town, Alabama",AL, Alabama
78,"Carrollton town, Alabama",AL, Alabama
79,"Castleberry town, Alabama",AL, Alabama
81,"Cedar Bluff town, Alabama",AL, Alabama
82,"Center Point city, Alabama",AL, Alabama
83,"Centre city, Alabama",AL, Alabama
84,"Centreville city, Alabama",AL, Alabama
85,"Chatom town, Alabama",AL, Alabama
86,"Chelsea city, Alabama",AL, Alabama
87,"Cherokee town, Alabama",AL, Alabama
88,"Chickasaw city, Alabama",AL, Alabama
89,"Childersburg city, Alabama",AL, Alabama
92,"Citronelle city, Alabama",AL, Alabama
93,"Clanton city, Alabama",AL, Alabama
94,"Clay city, Alabama",AL, Alabama
95,"Clayhatchee town, Alabama",AL, Alabama
96,"Clayton town, Alabama",AL, Alabama
