id,Geography,stateAbbr,stateFullName
1,"Abbeville, Alabama",AL, Alabama
2,"Adamsville, Alabama",AL, Alabama
3,"Addison, Alabama",AL, Alabama
4,"Akron, Alabama",AL, Alabama
5,"Alabaster, Alabama",AL, Alabama
6,"Albertville, Alabama",AL, Alabama
7,"Alexander City, Alabama",AL, Alabama
8,"Aliceville, Alabama",AL, Alabama
9,"Allgood, Alabama",AL, Alabama
10,"Altoona, Alabama",AL, Alabama
11,"Andalusia, Alabama",AL, Alabama
12,"Anderson, Alabama",AL, Alabama
13,"Anniston, Alabama",AL, Alabama
14,"Arab, Alabama",AL, Alabama
15,"Ardmore, Alabama",AL, Alabama
16,"Argo, Alabama",AL, Alabama
17,"Ariton, Alabama",AL, Alabama
18,"Arley, Alabama",AL, Alabama
19,"Ashford, Alabama",AL, Alabama
20,"Ashland, Alabama",AL, Alabama
21,"Ashville, Alabama",AL, Alabama
22,"Athens, Alabama",AL, Alabama
23,"Atmore, Alabama",AL, Alabama
24,"Attalla, Alabama",AL, Alabama
25,"Auburn, Alabama",AL, Alabama
26,"Autaugaville, Alabama",AL, Alabama
27,"Avon, Alabama",AL, Alabama
28,"Babbie, Alabama",AL, Alabama
29,"Baileyton, Alabama",AL, Alabama
30,"Bakerhill, Alabama",AL, Alabama
31,"Banks, Alabama",AL, Alabama
32,"Bay Minette, Alabama",AL, Alabama
33,"Bayou La Batre, Alabama",AL, Alabama
34,"Bear Creek, Alabama",AL, Alabama
35,"Beatrice, Alabama",AL, Alabama
36,"Beaverton, Alabama",AL, Alabama
37,"Belk, Alabama",AL, Alabama
38,"Benton, Alabama",AL, Alabama
39,"Berry, Alabama",AL, Alabama
40,"Bessemer, Alabama",AL, Alabama
41,"Billingsley, Alabama",AL, Alabama
42,"Birmingham, Alabama",AL, Alabama
43,"Black, Alabama",AL, Alabama
44,"Blountsville, Alabama",AL, Alabama
45,"Blue Springs, Alabama",AL, Alabama
46,"Boaz, Alabama",AL, Alabama
47,"Boligee, Alabama",AL, Alabama
48,"Bon Air, Alabama",AL, Alabama
49,"Brantley, Alabama",AL, Alabama
50,"Brent, Alabama",AL, Alabama
51,"Brewton, Alabama",AL, Alabama
52,"Bridgeport, Alabama",AL, Alabama
53,"Brighton, Alabama",AL, Alabama
54,"Brilliant, Alabama",AL, Alabama
55,"Brookside, Alabama",AL, Alabama
56,"Brookwood, Alabama",AL, Alabama
57,"Brundidge, Alabama",AL, Alabama
58,"Butler, Alabama",AL, Alabama
59,"Calera, Alabama",AL, Alabama
60,"Camden, Alabama",AL, Alabama
61,"Camp Hill, Alabama",AL, Alabama
62,"Carbon Hill, Alabama",AL, Alabama
63,"Cardiff, Alabama",AL, Alabama
64,"Carolina, Alabama",AL, Alabama
65,"Carrollton, Alabama",AL, Alabama
66,"Castleberry, Alabama",AL, Alabama
67,"Cedar Bluff, Alabama",AL, Alabama
68,"Center Point, Alabama",AL, Alabama
69,"Centre, Alabama",AL, Alabama
70,"Centreville, Alabama",AL, Alabama
71,"Chatom, Alabama",AL, Alabama
72,"Chelsea, Alabama",AL, Alabama
73,"Cherokee, Alabama",AL, Alabama
74,"Chickasaw, Alabama",AL, Alabama
75,"Childersburg, Alabama",AL, Alabama
76,"Citronelle, Alabama",AL, Alabama
77,"Clanton, Alabama",AL, Alabama
78,"Clay, Alabama",AL, Alabama
79,"Clayhatchee, Alabama",AL, Alabama
80,"Clayton, Alabama",AL, Alabama
81,"Cleveland, Alabama",AL, Alabama
82,"Clio, Alabama",AL, Alabama
83,"Coaling, Alabama",AL, Alabama
84,"Coffee Springs, Alabama",AL, Alabama
85,"Coffeeville, Alabama",AL, Alabama
86,"Coker, Alabama",AL, Alabama
87,"Collinsville, Alabama",AL, Alabama
88,"Colony, Alabama",AL, Alabama
89,"Columbia, Alabama",AL, Alabama
90,"Columbiana, Alabama",AL, Alabama
91,"Coosada, Alabama",AL, Alabama
92,"Cordova, Alabama",AL, Alabama
93,"Cottonwood, Alabama",AL, Alabama
94,"County Line, Alabama",AL, Alabama
95,"Courtland, Alabama",AL, Alabama
96,"Cowarts, Alabama",AL, Alabama
97,"Creola, Alabama",AL, Alabama
98,"Crossville, Alabama",AL, Alabama
99,"Cuba, Alabama",AL, Alabama
100,"Cullman, Alabama",AL, Alabama
101,"Cusseta, Alabama",AL, Alabama
102,"Dadeville, Alabama",AL, Alabama
103,"Daleville, Alabama",AL, Alabama
104,"Daphne, Alabama",AL, Alabama
105,"Dauphin Island, Alabama",AL, Alabama
106,"Daviston, Alabama",AL, Alabama
107,"Dayton, Alabama",AL, Alabama
108,"Deatsville, Alabama",AL, Alabama
109,"Decatur, Alabama",AL, Alabama
110,"Demopolis, Alabama",AL, Alabama
111,"Detroit, Alabama",AL, Alabama
112,"Dodge City, Alabama",AL, Alabama
113,"Dora, Alabama",AL, Alabama
114,"Dothan, Alabama",AL, Alabama
115,"Double Springs, Alabama",AL, Alabama
116,"Douglas, Alabama",AL, Alabama
117,"Dozier, Alabama",AL, Alabama
118,"Dutton, Alabama",AL, Alabama
119,"East Brewton, Alabama",AL, Alabama
